gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
PIEZO2,Q9H5I5,Homo sapiens,"Mechanotransduction,Proprioception","Essential for proprioception, which provides the gravity reference frame for posture control.",Loss of function mutations cause congenital scoliosis; asymmetric expression in paraspinal muscles in AIS. (DOI: 10.1056/NEJMoa1602812),95,Direct link between gravity sensing (proprioception) and spinal alignment.
LBX1,P52954,Homo sapiens,"Somite,Muscle,Proprioception",Regulates migration of muscle precursors and formation of dorsal horn neurons involved in proprioception/gravity sensing.,Top GWAS hit for Adolescent Idiopathic Scoliosis (AIS). (DOI: 10.1038/ng.814),95,Major genetic driver of AIS with clear mechanistic link to postural tone.
IFT88,Q13099,Homo sapiens,"Cilia,Mechanotransduction",Linked to PIEZO1-Primary Cilia axis; essential for sensing flow/load.,Deletion causes scoliosis; PIEZO1-cilia axis mediates stress response in AIS. (PMID: 41194970),92,Direct link via PIEZO1-cilia axis.
FBN1,P35555,Homo sapiens,"ECM,Mechanotransduction","Microfibrils provide long-range elasticity and sequester TGF-beta, responding to tissue stretch.",Marfan syndrome patients have high prevalence of scoliosis. (DOI: 10.1056/NEJMoa1000501),92,Major structural determinant of spine elasticity.
PIEZO1,Q92508,Homo sapiens,"Mechanotransduction,Growth_Plate,Ion_Channel",Senses mechanical overload; expression upregulates in compressed regions.,Scoliotic growth plates show convex-concave asymmetry in PIEZO1 expression; mediates ferroptosis in vertebral dysplasia. (PMC12533149),92,Direct mechanistic link to growth plate asymmetry in scoliosis.
YAP1,P46937,Homo sapiens,"Mechanotransduction,Hippo,Growth_Plate",Nuclear translocation is directly regulated by mechanical stiffness and gravity loading forces.,Regulates osteoblast differentiation and vertebral growth; deletion leads to skeletal defects.,90,Central hub of cellular mechanotransduction.
POC5,Q8NA72,Homo sapiens,"Cilia,Centriole",Ciliary function is critical for detecting fluid flow and potentially gravity vectors (statocysts analogy).,Mutations found in familial AIS; causes ciliary defects and spinal curvature in zebrafish. (DOI: 10.1172/JCI77262),90,Direct genetic cause of scoliosis linked to ciliary geometry.
ITGB1,P05556,Homo sapiens,"Mechanotransduction,Adhesion",Integrins are the primary cellular gravity/load sensors via focal adhesions.,Conditional deletion in cartilage leads to scoliosis. (DOI: 10.1073/pnas.1513252112),90,Primary gravity sensor at cell-ECM interface.
KIF3A,Q9Y496,Homo sapiens,"Cilia,Motor_Protein",Required for ciliary formation and flow sensing (gravity proxy).,Conditional knockout leads to scoliosis in zebrafish. (PMID: 9441191),88,Essential for ciliary structure and gravity sensing.
ACAN,P16112,Homo sapiens,"ECM,Cartilage",Major load-bearing proteoglycan in IVD/cartilage; resists gravity.,Loss leads to disc degeneration and height loss. (DOI: 10.1002/humu.1380020102 implied),88,Primary structural resistor of gravity load.
WWTR1,Q9GZV5,Homo sapiens,"Mechanotransduction,Hippo","Paralog of YAP, acts as a mechanosensor of matrix stiffness and gravity-derived stress.",Essential for skeletal development; deficiency causes osteopenia and spinal deformities.,88,Key partner of YAP in mechanosensing.
ADGRG6,Q7Z2K8,Homo sapiens,"Mechanotransduction,Adhesion",GPR126 is a mechanosensitive GPCR; essential for intervertebral disc maintenance under mechanical load.,Mutations associated with AIS; required for spinal alignment in zebrafish. (DOI: 10.1016/j.neuron.2014.05.022),88,Mechanosensitive receptor directly linked to spine integrity.
FLNB,O75369,Homo sapiens,"Cytoskeleton,Segmentation","Actin cytoskeleton crosslinker, responds to mechanical stress.",Mutations cause Spondylocarpotarsal Synostosis Syndrome with scoliosis. (DOI: 10.1038/ng1319),88,Structural integrator of stress and segmentation.
MESP2,Q0VG99,Homo sapiens,"Segmentation,Somite","Regulates somite boundary formation (the 'clock'), establishing structural units.",Mutations cause Spondylocostal Dysostosis (severe spinal malformation). (DOI: 10.1086/302826),88,Critical for vertebral segmentation integrity.
UTS2R,Q969V1,Homo sapiens,"Cilia,Signaling,Fluid_Flow",Ciliary function detects fluid flow (gravity proxy).,Novel mutations associated with AIS; causes severe scoliosis in zebrafish via CSF flow defects. (PMID: 33156271),88,Strong genetic link involving the CSF flow pathway.
SOX9,P48436,Homo sapiens,"Growth_Plate,Transcription_Factor",Regulates chondrogenesis under load; maintains IVD integrity against gravity.,Gene therapy target for IVD degeneration. (PMC4123440),85,Master regulator of gravity-resisting tissue.
VANGL2,Q9ULK5,Homo sapiens,"PCP,Cilia",Core PCP component aligning tissues against stress lines.,Mutations predispose to Congenital Vertebral Malformations (CVM) and scoliosis. (TMC 2227),85,PCP disruption directly links to vertebral defects.
NOTCH1,P46531,Homo sapiens,"Segmentation,Signaling",Regulates somitogenesis timing; establishes axial pattern.,Mutations linked to congenital scoliosis and segmentation defects. (Genes & Dev),85,Critical for vertebral segmentation timing.
VANGL1,Q8TAA9,Homo sapiens,"PCP,Cilia",Planar Cell Polarity (PCP) aligns cells against tissue stress lines (gravity).,Rare variants associated with AIS; essential for vertebral shape. (DOI: 10.1371/journal.pgen.1002843),85,PCP pathway is fundamental to body axis linearity.
PTK7,Q13308,Homo sapiens,"PCP,Wnt_Signaling","Regulates convergent extension movements, resisting gravity-induced spreading.",Mutations cause scoliosis in zebrafish and are found in AIS patients. (DOI: 10.1038/ncomms1352),85,Core PCP component linked to spinal curvature.
COL2A1,P02458,Homo sapiens,"ECM,Growth_Plate",Major structural component resisting compressive gravity loads in spine.,Mutations cause spondyloepiphyseal dysplasia and scoliosis. (DOI: 10.1002/humu.1380020102),85,Primary gravity-resisting molecule in the spine.
TBX6,O95935,Homo sapiens,"Segmentation,Somite",Regulates somite segmentation clock; timing errors lead to hemivertebrae.,Mutations cause Congenital Scoliosis (CS). (DOI: 10.1056/NEJMoa1405829),85,Fundamental to vertebral segmentation symmetry.
PTK2,Q05397,Homo sapiens,"Mechanotransduction,Adhesion",Central mediator of integrin mechanotransduction and gravity response.,Essential for osteoblast response to load; deletion affects bone formation.,85,Key signal transducer for gravity sensing.
PKD2,Q13563,Homo sapiens,"Cilia,Ion_Channel",Mechanosensitive ion channel in cilia (flow/bending).,Partner of PKD1L1; essential for left-right asymmetry and spine straightness in zebrafish.,85,Ciliary mechanosensor linked to asymmetry.
DLL3,Q9NYJ7,Homo sapiens,"Segmentation,Notch",Notch signaling component for segmentation.,Mutations cause Spondylocostal Dysostosis. (DOI: 10.1038/ng0502-385),85,Notch ligand essential for somite boundaries.
CDH2,P19022,Homo sapiens,"Adhesion,Mechanotransduction","Cell-cell adhesion, transmits tension across tissues.",Asymmetric expression implicated in curvature.,85,Transmits mechanical information between cells.
FGFR1,P11362,Homo sapiens,"Signaling,Growth_Plate,Development",Regulates osteogenesis and limb development under load.,Novel variants associated with Congenital Scoliosis; signaling reduced in patients. (PMID: 34440300),85,Key growth factor receptor linked to congenital spinal defects.
HES7,Q9LBK6,Homo sapiens,"Segmentation,Notch,Somite",Establishes structural units (somites) resisting gravity.,Mutations cause Spondylocostal Dysostosis; defects lead to late-onset scoliosis due to muscle-spine mismatch. (PMID: 34440615),85,Proven segmentation defect link to spinal malformation.
PTH1R,Q03431,Homo sapiens,"Growth_Plate,Signaling",Regulates bone turnover and chondrocyte differentiation under load.,Jansen Metaphyseal Chondrodysplasia causes scoliosis. (NBK616087),82,Key regulator of bone response to load.
SCRIB,Q14160,Homo sapiens,"PCP,Adhesion",PCP component; localization affected by mutations.,Linked to Spina Bifida and craniorachischisis. (CDC 22582),82,PCP polarity defect links to neural tube/spine.
ACTB,P60709,Homo sapiens,"Cytoskeleton,Mechanotransduction",Cytoskeleton remodels under microgravity (PNAS 2000).,Essential for cell stiffness and mechanosensitivity.,82,Fundamental gravity-responsive cytoskeletal element.
TUBB,P07437,Homo sapiens,"Cytoskeleton,Mechanotransduction",Microtubule self-organization is gravity-dependent (PNAS 2000).,Structural integrity against compression.,82,Gravity-dependent self-assembly demonstrated in vitro.
TRPV4,Q9HBA0,Homo sapiens,"Mechanotransduction,Ion_Channel",Mechanosensitive ion channel activated by osmotic and mechanical stress (gravity load).,Mutations cause metatropic dysplasia and scoliosis. (DOI: 10.1038/ng.667),82,Direct mechanosensor in chondrocytes.
CELSR1,Q9NYQ6,Homo sapiens,"PCP,Adhesion",PCP pathway component aligning tissues against stress.,Mutations cause neural tube defects; PCP is key for spine straightening.,82,PCP determinant of tissue polarity.
COL11A1,P12107,Homo sapiens,"ECM,Growth_Plate","Nucleates collagen fibril assembly, determining fiber diameter and mechanical strength.",Stickler syndrome (Type II) causes scoliosis. (DOI: 10.1002/ajmg.1320570103),82,Controls collagen fibril mechanics.
LAMA2,P24043,Homo sapiens,"ECM,Muscle,Adhesion","Essential for muscle cell adhesion to ECM, resisting gravity load.","Early-onset LAMA2-related dystrophy causes severe, progressive scoliosis. (PMC7545609)",82,Critical for muscle-matrix coupling; loss leads to severe curvature.
BMP4,P12644,Homo sapiens,"Signaling,Mechanotransduction",Mechanosensitive expression in endothelial cells (AHA).,Regulates bone formation/resorption balance.,80,Shear stress modulates expression.
WNT5A,P41221,Homo sapiens,"Signaling,PCP",Non-canonical Wnt signaling in mechanotransduction (Frontiers).,Regulates tissue polarity and orientation.,80,Mechanotransduction signaling mediator.
COMP,P49747,Homo sapiens,"ECM,Mechanotransduction",Cartilage Oligomeric Matrix Protein; organizes collagen to resist load.,Mutations cause Pseudoachondroplasia with associated spinal curvature.,80,Critical for matrix integrity under load.
PKD1L1,Q8TDX9,Homo sapiens,"Cilia,Ion_Channel",Detects cerebrospinal fluid flow in central canal; flow dynamics are gravity-influenced.,Mutations cause scoliosis in zebrafish and humans. (DOI: 10.1038/s41467-018-06283-3),80,Links CSF flow sensing to spine straightness.
SHH,Q15465,Homo sapiens,"Development,Notochord",Notochord (hydrostatic skeleton) secretion; provides initial gravity resistance.,Modulation affects vertebral shape and disc formation. VACTERL syndrome.,80,Morphogen establishing the gravity axis.
RUNX2,Q13950,Homo sapiens,"Bone,Mechanotransduction",Master osteogenic factor; expression is upregulated by mechanical load (gravity).,Cleidocranial dysplasia involves spinal abnormalities; essential for vertebral ossification.,80,Master regulator of bone response to load.
LFNG,Q8NES3,Homo sapiens,"Segmentation,Notch",Regulates somite boundary formation.,Mutations cause Spondylocostal Dysostosis type 3 with severe vertebral defects. (OMIM: 609813),80,Notch modulator essential for vertebral segmentation.
KIF6,Q6ZMV9,Homo sapiens,"Cilia,Motor_Protein",Kinesin motor for ciliary transport; cilia are potential gravity sensors.,Associated with AIS susceptibility. (DOI: 10.1093/hmg/ddq172),78,Ciliary motor protein linked to scoliosis.
CAV1,Q03135,Homo sapiens,"Mechanotransduction,Membrane,Notochord",Caveolae flatten under mechanical tension; reduced in microgravity.,Required for notochord mechanical integrity; loss in zebrafish leads to kinking (scoliosis-like).,78,Membrane tension sensor linked to notochord mechanics.
HSPG2,P98160,Homo sapiens,"ECM,Mechanotransduction",Perlecan; mechanosensor in lacuno-canalicular system of bone.,Deficiency leads to Schwartz-Jampel syndrome with skeletal abnormalities (kyphoscoliosis).,75,Key mechanosensory ECM component.
MATN1,P21941,Homo sapiens,"ECM,Cartilage",Forms filamentous networks in cartilage; contributes to stiffness.,Linked to idiopathic scoliosis susceptibility in some populations. (DOI: 10.1016/j.ygeno.2007.03.010),75,Structural component of cartilage matrix.
WNT3A,P56704,Homo sapiens,"Signaling,Bone",Wnt signaling responds to mechanical load (osteocyte mechanotransduction).,Crucial for bone mass regulation and vertebral formation.,75,Key signaling pathway in bone mechanobiology.
GREM1,O60565,Homo sapiens,"Signaling,Growth_Plate",BMP antagonist; balances proliferation/differentiation in growth plate under load.,Variants linked to bone density and potentially structural defects.,72,Regulates growth plate sensitivity.
VIM,P08670,Homo sapiens,"Cytoskeleton,Mechanotransduction","Cytoskeletal remodeling in microgravity; essential for cell stiffness. (Wuest et al., 2025, doi:10.3389/frspt.2025.1677728)",General link to mesenchymal cell mechanics; upregulation in compressed discs.,72,Intermediate filament responsive to gravity loading.
SIRT1,Q96EB6,Homo sapiens,"Signaling,Muscle,Metabolism",Drives muscle gene expression changes in microgravity. (PMC5515518),Protects against IVD degeneration; decline linked to aging spine.,72,Metabolic regulator of muscle response to unloading.
SCUBE3,Q8IX30,Homo sapiens,"ECM,Signaling",Secreted glycoprotein; modulates BMP signaling in osteogenesis.,Overexpression implicated in high bone mass and potential structural anomalies.,70,Emerging candidate in bone morphogenesis.
HOXB1,P14653,Homo sapiens,"Development,Segmentation",Hox genes specify vertebral identity along the A-P axis (gravity axis).,Disruption leads to vertebral patterning defects.,70,Positional identity gene.
CDKN1A,P38936,Homo sapiens,"Signaling,Microgravity_Response","Upregulated in microgravity, arresting osteoblast growth. (Blaber et al., 2013, PMC3630201)",Involved in intervertebral disc senescence.,70,Key marker of microgravity-induced cell cycle arrest.
LMNA,P02545,Homo sapiens,"Mechanotransduction,Nucleus,Cytoskeleton","Nuclear lamina scales with tissue stiffness; central mechanotransducer (Swift et al., 2013).",Mutations cause LMNA-CMD and EDMD2/3 with severe scoliosis. (PMC4105307),92,Direct link between nuclear mechanotransduction and spinal stability.
PAX1,P15863,Homo sapiens,"Segmentation,Somite",Required for sclerotome differentiation and vertebral body formation (gravity resisting units).,Undulated mouse mutants show severe vertebral defects and scoliosis. (PMID: 7875377),88,Essential for vertebral structural integrity.
NKX3-2,P78367,Homo sapiens,"Growth_Plate,Development",Inhibits chondrocyte maturation; modulates stress response in cartilage.,Mutations cause Spondylo-megaepiphyseal-metaphyseal dysplasia (SMMD) with scoliosis. (PMC7860120),85,Regulates cartilage growth under load.
COL6A1,P12109,Homo sapiens,"ECM,Muscle",Interface between muscle and ECM; critical for force transmission.,Ullrich CMD and Bethlem Myopathy feature prominent scoliosis. (PMC8283577),85,Key for muscle-matrix mechanical coupling.
FHL1,Q13642,Homo sapiens,"Mechanotransduction,Muscle",LIM domains act as mechanosensors; mutations cause Reducing Body Myopathy.,Mutations lead to rigid spine syndrome and severe scoliosis. (PMC11978423),85,Muscle mechanosensor linked to spinal rigidity.
GDF6,Q6KF10,Homo sapiens,"Development,Signaling",BMP family member regulating vertebral segmentation and fusion.,Mutations cause Klippel-Feil syndrome (fused vertebrae/scoliosis). (MedlinePlus),85,Direct cause of vertebral fusion defects.
DVL1,O14640,Homo sapiens,"PCP,Wnt_Signaling",Mediator of Wnt/PCP signaling; establishes tissue polarity against stress.,Mutations cause Robinow Syndrome with hemivertebrae and scoliosis. (PMC4385193),85,PCP mediator linked to segmentation defects.
LRP5,O75197,Homo sapiens,"Signaling,Bone",Wnt co-receptor regulating bone mass in response to load.,Mutations alter anabolic response to loading; osteoporosis-pseudoglioma syndrome. (Frontiers),85,Key regulator of bone mechanoadaptation.
SYNE1,Q8NF91,Homo sapiens,"Mechanotransduction,Nucleus,LINC",Connects nucleus to cytoskeleton; essential for force transmission.,Deficiency causes ataxia and arthrogryposis with spinal deformities. (GeneReviews),82,LINC complex component essential for cellular mechanics.
RYR1,P21817,Homo sapiens,"Muscle,Ion_Channel",Regulates calcium release for muscle contraction (postural tone).,Central Core Disease is strongly associated with congenital scoliosis. (PM&R),82,Essential for muscle tone maintenance.
MEOX1,P50221,Homo sapiens,"Segmentation,Somite",Regulates sclerotome development and vertebral formation.,Mutations cause Klippel-Feil syndrome. (KEGG),80,Transcription factor for vertebral somites.
GDF3,Q9NR23,Homo sapiens,"Development,Signaling",Involved in vertebral development and segmentation.,Mutations cause Klippel-Feil syndrome and skeletal defects. (CHOP),80,Linked to vertebral fusion.
PRICKLE1,Q96MT3,Homo sapiens,"PCP,Signaling",PCP component aligning cells against stress lines.,Mutations cause progressive myoclonus epilepsy; PCP defects link to spine.,78,PCP pathway member.
METTL3,Q86U44,Homo sapiens,"Epigenetics,Muscle,ROS","Functional unloading alters m6A RNA methylation in muscle, regulating atrophy (Sun et al., 2023).","ROS-METTL3-ESR1 axis drives paraspinal muscle asymmetry in AIS (Shao et al., 2025).",89,Key epigenetic regulator linking oxidative stress to muscle asymmetry.
ESR1,P03372,Homo sapiens,"Signaling,Muscle,Bone",Estrogen deficiency accelerates bone loss in space; key regulator of mechanical loading response.,Suppressed by METTL3 in AIS paraspinal muscles; polymorphisms linked to curve severity.,88,Mechanosensitive receptor linking hormonal status to spinal stability.
MMP1,P03956,Homo sapiens,"ECM,Degradation","Primary driver of IVD ECM degradation under simulated microgravity (Chen et al., 2025).",ECM degradation leads to disc wedging and curvature progression.,87,Direct enzymatic driver of microgravity-induced disc degeneration.
MMP3,P08254,Homo sapiens,"ECM,Degradation","Upregulated in IVD cells under microgravity; degrades proteoglycans (Chen et al., 2025).",Polymorphisms associated with disc degeneration and scoliosis susceptibility.,87,Key protease in load-dependent disc remodeling.
PPARG,P37231,Homo sapiens,"Metabolism,Muscle","Drives marrow adipogenesis at expense of osteogenesis in microgravity (Pandit et al., 2025).",Paraspinal muscle fatty infiltration is a hallmark of progressive scoliosis.,85,Regulates the muscle-to-fat switch observed in unloading and scoliosis.
LOX,P28300,Homo sapiens,"ECM,Enzyme",Crosslinks collagen/elastin; activity is modulated by mechanical load.,Inhibition leads to lathyrism (spinal deformities); essential for spine stability.,85,Critical enzyme for establishing tissue stiffness against gravity.
COL11A2,P13942,Homo sapiens,"ECM,Growth_Plate",Structural collagen essential for cartilage stiffness and load resistance.,Mutations cause Stickler syndrome and Otospondylomegaepiphyseal dysplasia with scoliosis.,82,Structural collagen linking hearing loss to spinal defects.
INVS,Q9Y283,Homo sapiens,"Cilia,PCP",Ciliary flow sensing component (fluid flow as gravity proxy).,Key for Left-Right asymmetry; mutations cause cystic kidney disease and skeletal defects.,82,Essential for ciliary mechanosensation and body axis symmetry.
PKD1,P98161,Homo sapiens,"Cilia,Mechanotransduction",Mechanosensor in cilia/bone (polycystin complex with PKD2).,ADPKD patients have higher prevalence of spinal abnormalities.,82,Mechanotransduction partner of PKD2 in ciliary sensing.
SOD2,P04179,Homo sapiens,"Metabolism,ROS","Mitochondrial ROS is a major driver of spaceflight induced cellular damage (Shao et al., 2025).",Oxidative stress in paraspinal muscles contributes to asymmetry and AIS progression.,80,Mitochondrial antioxidant defending against unloading-induced ROS.
MSTN,O14793,Homo sapiens,"Muscle,Signaling,Growth","Inhibition leads to muscle growth; key target for preventing atrophy in microgravity. (Smith et al., 2020)",Muscle asymmetry and weakness contribute to curve progression in AIS.,85,Strong muscle link; potential therapeutic target for unloading.
SOST,Q9BQB4,Homo sapiens,"Bone,Mechanotransduction,Wnt","Mechanosensitive osteocyte-secreted inhibitor of Wnt; upregulated in unloading (bone loss). (Spatz et al., 2015)",Regulates vertebral bone density; inhibition increases bone mass.,88,Direct mechanosensor in bone; key for microgravity bone loss.
NOTCH2,Q04721,Homo sapiens,"Segmentation,Signaling",Notch signaling is sensitive to fluid shear stress.,"Mutations cause Alagille syndrome (butterfly vertebrae) and Hajdu-Cheney syndrome (severe osteoporosis/scoliosis). (Isidor et al., 2011)",85,Linked to vertebral segmentation and bone mass.
RIPPLY2,Q5TAB7,Homo sapiens,"Segmentation,Somite",Regulates timing of somitogenesis (segmentation clock).,"Mutations cause Spondylocostal Dysostosis and vertebral segmentation defects. (McInerney-Leo et al., 2015)",85,Essential for vertebral segmentation pattern.
IHH,Q14623,Homo sapiens,"Growth_Plate,Signaling,Development","Mechanotransduction regulates IHH in chondrocytes. (Wu et al., 2001)",Essential for vertebral body growth and ossification; mutations cause brachydactyly A1.,82,Key regulator of growth plate ossification under load.
GJA1,P17302,Homo sapiens,"Mechanotransduction,Gap_Junction","Hemichannels open in response to mechanical stress; essential for osteocyte network. (Jamsheer et al., 2010)",Mutations cause Oculodentodigital Dysplasia with spinal anomalies.,85,Essential for osteocyte mechanotransduction network.
ZYX,Q15942,Homo sapiens,"Mechanotransduction,Cytoskeleton","Recruited to stress fibers under tension; gravity sensing at focal adhesions. (Hoffman et al., 2012)",Regulates cell mechanics; potential link via actin remodeling.,80,Mechanosensitive protein at focal adhesions.
BBS1,Q8NFJ9,Homo sapiens,"Cilia,PCP",Bardet-Biedl Syndrome protein; cilia are gravity/flow sensors.,"BBS patients have high prevalence of scoliosis. (Alvarez-Satta et al., 2017)",82,Ciliary component linked to syndromic scoliosis.
RPGRIP1L,Q68CZ1,Homo sapiens,"Cilia,Centrosome",Controls ciliary gating and signaling.,Mutations cause Meckel-Gruber/Joubert syndromes; rpgrip1l mutant zebrafish develop scoliosis (eLife 2024).,88,Strong recent evidence linking ciliary defect to scoliosis.
